medcodeid	ReadCode	SNOMEDCTCodes	OriginalReadCode	CleansedReadCode	term_medcode	category
3510567015	NA	291121000119103	^ESCT1170688	NA	Monoplegia of upper limb due to and following cerebrovascular accident	EXCLUDE
3510586011	NA	674161000119102	^ESCT1171084	NA	Monoplegia of arm as late effect of ischemic stroke	EXCLUDE
3510587019	NA	674161000119102	^ESCT1171081	NA	Monoplegia of arm as late effect of ischaemic stroke	EXCLUDE
3510588012	NA	674161000119102	^ESCT1171085	NA	Monoplegia of upper limb as sequela of ischemic cerebrovascular accident	EXCLUDE
3510589016	NA	674161000119102	^ESCT1171086	NA	Monoplegia of upper limb due to and following ischemic cerebrovascular accident	EXCLUDE
3510590013	NA	674161000119102	^ESCT1171083	NA	Monoplegia of upper limb as sequela of ischaemic cerebrovascular accident	EXCLUDE
3510591012	NA	674161000119102	^ESCT1171082	NA	Monoplegia of upper limb due to and following ischaemic cerebrovascular accident	EXCLUDE
3510802019	NA	291631000119107	^ESCT1170733	NA	Aphasia as sequela of non-traumatic subarachnoid hemorrhage	EXCLUDE
3510820011	NA	291721000119102	^ESCT1170749	NA	Aphasia as sequela of non-traumatic intracerebral hemorrhage	EXCLUDE
3510822015	NA	674361000119104	^ESCT1171088	NA	Apraxia as sequela of ischemic cerebrovascular accident	EXCLUDE
3510824019	NA	290581000119101	^ESCT1170661	NA	Ataxia as sequela of cerebrovascular accident	EXCLUDE
3510825018	NA	290581000119101	^ESCT1170662	NA	Ataxia as late effect of stroke	EXCLUDE
3510827014	NA	690201000119109	^ESCT1171128	NA	Ataxia as sequela of embolic cerebrovascular accident	EXCLUDE
3510829012	NA	674121000119107	^ESCT1171078	NA	Ataxia as sequela of hemorrhagic cerebrovascular accident	EXCLUDE
3510852011	NA	672461000119104	^ESCT1171036	NA	Hemiplegia of dominant side due to and following ischemic cerebrovascular accident	EXCLUDE
3510853018	NA	672461000119104	^ESCT1171039	NA	Hemiplegia of dominant side as sequela of ischemic cerebrovascular accident	EXCLUDE
3510854012	NA	672461000119104	^ESCT1171035	NA	Hemiplegia of dominant side as sequela of ischaemic cerebrovascular accident	EXCLUDE
3510855013	NA	672461000119104	^ESCT1171038	NA	Hemiplegia of dominant side as late effect of ischemic stroke	EXCLUDE
3510856014	NA	672461000119104	^ESCT1171037	NA	Hemiplegia of dominant side as late effect of ischaemic stroke	EXCLUDE
3510858010	NA	690271000119104	^ESCT1171132	NA	Hemiplegia of nondominant side due to and following embolic cerebrovascular accident	EXCLUDE
3510859019	NA	690271000119104	^ESCT1171130	NA	Hemiplegia of nondominant side as sequela of embolic cerebrovascular accident	EXCLUDE
3510860012	NA	690271000119104	^ESCT1171131	NA	Hemiplegia of nondominant side as late effect of embolic stroke	EXCLUDE
3510862016	NA	672441000119103	^ESCT1171031	NA	Hemiplegia of nondominant side due to and following ischemic cerebrovascular accident	EXCLUDE
3510863014	NA	672441000119103	^ESCT1171034	NA	Hemiplegia of nondominant side as sequela of ischemic cerebrovascular accident	EXCLUDE
3510864015	NA	672441000119103	^ESCT1171030	NA	Hemiplegia of nondominant side as sequela of ischaemic cerebrovascular accident	EXCLUDE
3510865019	NA	672441000119103	^ESCT1171033	NA	Hemiplegia of nondominant side as late effect of ischemic stroke	EXCLUDE
3510866018	NA	672441000119103	^ESCT1171032	NA	Hemiplegia of nondominant side as late effect of ischaemic stroke	EXCLUDE
3510868017	NA	290791000119105	^ESCT1170677	NA	Fluency disorder due to and following cerebrovascular accident	EXCLUDE
3510869013	NA	290791000119105	^ESCT1170676	NA	Fluency disorder as sequela of cerebrovascular accident	EXCLUDE
3510870014	NA	290791000119105	^ESCT1170678	NA	Fluency disorder as late effect of stroke	EXCLUDE
3511081019	NA	674091000119108	^ESCT1171074	NA	Vertigo as sequela of ischemic cerebrovascular accident	EXCLUDE
3511082014	NA	674091000119108	^ESCT1171073	NA	Vertigo as late effect of ischemic stroke	EXCLUDE
3511305015	NA	12367511000119101	^ESCT1172531	NA	Paraplegia due to and following cerebrovascular accident	EXCLUDE
3511460011	NA	291681000119108	^ESCT1170734	NA	Dysphagia as sequela of non-traumatic subarachnoid haemorrhage	EXCLUDE
3511461010	NA	291681000119108	^ESCT1170737	NA	Dysphagia as late effect of spontaneous subarachnoid haemorrhage	EXCLUDE
3511462015	NA	291681000119108	^ESCT1170735	NA	Dysphagia due to and following non-traumatic subarachnoid hemorrhage	EXCLUDE
3511463013	NA	291681000119108	^ESCT1170738	NA	Dysphagia due to and following non-traumatic subarachnoid haemorrhage	EXCLUDE
3512902011	NA	690171000119105	^ESCT1171125	NA	Weakness of facial muscle as sequela of embolic cerebrovascular accident	EXCLUDE
3512903018	NA	690171000119105	^ESCT1171126	NA	Facial weakness as late effect of embolic stroke	EXCLUDE
3512910012	NA	690331000119109	^ESCT1171133	NA	Speech and language deficit as sequela of embolic cerebrovascular accident	EXCLUDE
3512911011	NA	690331000119109	^ESCT1171134	NA	Speech and language deficit as late effect of embolic stroke	EXCLUDE
3512916018	NA	674401000119108	^ESCT1171105	NA	Speech and language deficit as sequela of ischemic cerebrovascular accident	EXCLUDE
3512917010	NA	674401000119108	^ESCT1171107	NA	Speech and language deficit as late effect of ischemic stroke	EXCLUDE
3513501015	NA	186831000119104	^ESCT1170641	NA	Apraxia as sequela of cerebrovascular accident	EXCLUDE
3513502010	NA	186831000119104	^ESCT1170642	NA	Apraxia as late effect of stroke	EXCLUDE
3513503017	NA	186831000119104	^ESCT1170643	NA	Apraxia due to and following cerebrovascular accident	EXCLUDE
3513517014	NA	12242711000119109	^ESCT1172520	NA	Weakness of left facial muscle due to and following cerebrovascular accident	EXCLUDE
3513528013	NA	674381000119108	^ESCT1171095	NA	Weakness of facial muscle due to and following ischemic cerebrovascular accident	EXCLUDE
3513529017	NA	674381000119108	^ESCT1171094	NA	Weakness of facial muscle due to and following ischaemic cerebrovascular accident	EXCLUDE
3513530010	NA	15982311000119104	^ESCT1172884	NA	Weakness of left facial muscle due to and following cerebrovascular disease	EXCLUDE
3513531014	NA	12242751000119105	^ESCT1172524	NA	Weakness of right facial muscle due to and following cerebrovascular accident	EXCLUDE
3513532019	NA	15982271000119104	^ESCT1172882	NA	Weakness of right facial muscle due to and following cerebrovascular disease	EXCLUDE
3513557012	NA	674391000119106	^ESCT1171099	NA	Speech and language deficit as sequela of hemorrhagic cerebrovascular accident	EXCLUDE
3513558019	NA	674391000119106	^ESCT1171101	NA	Speech and language deficit as late effect of hemorrhagic stroke	EXCLUDE
3513680014	NA	674091000119108	^ESCT1171075	NA	Vertigo due to and following ischemic cerebrovascular accident	EXCLUDE
3513681013	NA	674091000119108	^ESCT1171072	NA	Vertigo due to and following ischaemic cerebrovascular accident	EXCLUDE
3513684017	NA	674391000119106	^ESCT1171100	NA	Speech and language deficit due to and following haemorrhagic cerebrovascular accident	EXCLUDE
3513685016	NA	690331000119109	^ESCT1171135	NA	Speech and language deficit due to and following embolic cerebrovascular accident	EXCLUDE
3513686015	NA	674401000119108	^ESCT1171104	NA	Speech and language deficit due to and following ischemic cerebrovascular accident	EXCLUDE
3513687012	NA	674401000119108	^ESCT1171106	NA	Speech and language deficit due to and following ischaemic cerebrovascular accident	EXCLUDE
3513693016	NA	690171000119105	^ESCT1171127	NA	Weakness of facial muscle due to and following embolic cerebrovascular accident	EXCLUDE
3513769018	NA	291631000119107	^ESCT1170730	NA	Aphasia as sequela of non-traumatic subarachnoid haemorrhage	EXCLUDE
3513770017	NA	291721000119102	^ESCT1170746	NA	Aphasia as sequela of non-traumatic intracerebral haemorrhage	EXCLUDE
3513771018	NA	674391000119106	^ESCT1171102	NA	Speech and language deficit as late effect of haemorrhagic stroke	EXCLUDE
3513772013	NA	674121000119107	^ESCT1171077	NA	Ataxia as sequela of haemorrhagic cerebrovascular accident	EXCLUDE
3513773015	NA	674361000119104	^ESCT1171087	NA	Apraxia as sequela of ischaemic cerebrovascular accident	EXCLUDE
3513774014	NA	674091000119108	^ESCT1171071	NA	Vertigo as sequela of ischaemic cerebrovascular accident	EXCLUDE
3513775010	NA	674091000119108	^ESCT1171076	NA	Vertigo as late effect of ischaemic stroke	EXCLUDE
3513776011	NA	674401000119108	^ESCT1171103	NA	Speech and language deficit as sequela of ischaemic cerebrovascular accident	EXCLUDE
3513777019	NA	674401000119108	^ESCT1171108	NA	Speech and language deficit as late effect of ischaemic stroke	EXCLUDE
3513778012	NA	674391000119106	^ESCT1171097	NA	Speech and language deficit as sequela of haemorrhagic cerebrovascular accident	EXCLUDE
3513779016	NA	674391000119106	^ESCT1171098	NA	Speech and language deficit due to and following hemorrhagic cerebrovascular accident	EXCLUDE
3513780018	NA	291631000119107	^ESCT1170732	NA	Aphasia due to and following non-traumatic subarachnoid hemorrhage	EXCLUDE
3513781019	NA	291631000119107	^ESCT1170731	NA	Aphasia due to and following non-traumatic subarachnoid haemorrhage	EXCLUDE
3513782014	NA	291721000119102	^ESCT1170748	NA	Aphasia due to and following non-traumatic intracerebral hemorrhage	EXCLUDE
3513783016	NA	291721000119102	^ESCT1170747	NA	Aphasia due to and following non-traumatic intracerebral haemorrhage	EXCLUDE
3513784010	NA	674121000119107	^ESCT1171079	NA	Ataxia due to and following hemorrhagic cerebrovascular accident	EXCLUDE
3513785011	NA	674121000119107	^ESCT1171080	NA	Ataxia due to and following haemorrhagic cerebrovascular accident	EXCLUDE
3513786012	NA	674361000119104	^ESCT1171089	NA	Apraxia due to and following ischemic cerebrovascular accident	EXCLUDE
3513787015	NA	674361000119104	^ESCT1171090	NA	Apraxia due to and following ischaemic cerebrovascular accident	EXCLUDE
3513788013	NA	290581000119101	^ESCT1170663	NA	Ataxia due to and following cerebrovascular accident	EXCLUDE
3513790014	NA	690201000119109	^ESCT1171129	NA	Ataxia due to and following embolic cerebrovascular accident	EXCLUDE
3514426017	NA	674381000119108	^ESCT1171096	NA	Facial weakness as late effect of ischaemic stroke	EXCLUDE
3517767015	NA	15985031000119102	^ESCT1172889	NA	Neonatal non-traumatic intraventricular hemorrhage	EXCLUDE
3518235015	NA	15985031000119102	^ESCT1172888	NA	Neonatal non-traumatic intraventricular haemorrhage	EXCLUDE
3522691000006112	NA	62914000	^ESCTCE352269	NA	Cerebrovascular lesion	EXCLUDE
3522701000006112	NA	62914000	^ESCTCV352270	NA	CVD - Cerebrovascular disease	EXCLUDE
3540781000006117	NA	64009001	^ESCTVE354078	NA	Vertebrobasilar arterial insufficiency	EXCLUDE
3662331000006119	NA	71444005	^ESCTCT366233	NA	CT - Cerebral thrombosis	EXCLUDE
370711000006115	Gyu6.	62914000	Gyu6	Gyu6.00	[X]Cerebrovascular diseases	EXCLUDE
371641000000112	7P242	231231000000107	7P242	7P24200	Delivery of rehabilitation for stroke	EXCLUDE
3764671000006112	NA	77728007	^ESCTST376467	NA	Stroke-hemiplegia rehabilitation	EXCLUDE
3778011000006112	NA	78569004	^ESCTIN377801	NA	Inferior cerebellar artery syndrome	EXCLUDE
395777014	G63..	266253001	G63	G63..00	Precerebral arterial occlusion	EXCLUDE
39691000006110	S6314	450418003	S6314	S631400	Oth cereb h'ge inj + open intracran wnd+>24hr LOC + recovery	EXCLUDE
39701000006110	S6315	450418003	S6315	S631500	Oth cereb h'ge inj + open intracran wnd+>24hr LOC -restored	EXCLUDE
39711000006113	S631z	450418003	S631z	S631z00	Oth cereb h'ge inj + open intracran wnd+concussion unspec	EXCLUDE
39721000006117	S6316	450418003	S6316	S631600	Oth cereb h'ge inj + open intracran wnd+LOC unspec duration	EXCLUDE
39731000006119	S6304	450418003	S6304	S630400	Oth cereb h'ge inj no open intracran wnd+>24hr LOC +recovery	EXCLUDE
39741000006112	S6305	450418003	S6305	S630500	Oth cereb h'ge inj no open intracran wnd+>24hr LOC -restored	EXCLUDE
39751000006114	S630z	450418003	S630z	S630z00	Oth cereb h'ge inj no open intracran wnd+concussion unspec	EXCLUDE
39761000006111	S6306	450418003	S6306	S630600	Oth cereb h'ge inj no open intracran wnd+LOC unspec duration	EXCLUDE
39771000006116	S6310	450418003	S6310	S631000	Oth cerebral h'ge inj + open intracran wnd + unspec consc	EXCLUDE
39781000006118	S6312	450418003	S6312	S631200	Oth cerebral h'ge inj + open intracran wnd+<1hr loss consc	EXCLUDE
39791000006115	S6313	450418003	S6313	S631300	Oth cerebral h'ge inj + open intracran wnd+1-24hr loss consc	EXCLUDE
39801000006119	S6311	450418003	S6311	S631100	Oth cerebral h'ge inj + open intracranial wnd+no loss consc	EXCLUDE
39811000006116	S6302	450418003	S6302	S630200	Oth cerebral h'ge inj no open intracran wnd+<1hr loss consc	EXCLUDE
39821000006112	S6303	450418003	S6303	S630300	Oth cerebral h'ge inj no open intracran wnd+1-24hr LOC	EXCLUDE
39831000006110	S6301	450418003	S6301	S630100	Oth cerebral h'ge inj no open intracranial wnd+no loss consc	EXCLUDE
407291000006117	Gyu6A	62914000	Gyu6A	Gyu6A00	[X]Other cerebrovascular disorders in diseases CE	EXCLUDE
413750011	1M4..	277286006	1M4	1M4..00	Central post-stroke pain	EXCLUDE
417171000006111	Fyu57	62914000	Fyu57	Fyu5700	[X]Other vascular syndroms/brain in cerebrovasculr diseases	EXCLUDE
426321000006116	Gyu6C	195239002	Gyu6C	Gyu6C00	[X]Sequelae of stroke,not specfd as h'morrhage or infarction	EXCLUDE
426481000006114	Gyu6D	195239002	Gyu6D	Gyu6D00	[X]Sequelae/other + unspecified cerebrovascular diseases	EXCLUDE
451368019	1477	308064009	1477	1477	H/O: cerebrovascular disease	EXCLUDE
460286014	ZV125	266995000	ZV125	ZV12500	[V]Personal history of circulatory system disease	EXCLUDE
4774381000006112	NA	194179009	^ESCTRE477438	NA	Retrobulbar hemorrhage	EXCLUDE
4774391000006110	NA	194179009	^ESCTRE477439	NA	Retrobulbar hematoma	EXCLUDE
4774401000006112	NA	194179009	^ESCTRE477440	NA	Retrobulbar haematoma	EXCLUDE
4778071000006118	NA	195200006	^ESCTCA477807	NA	Carotid artery syndrome	EXCLUDE
4778311000006112	NA	195239002	^ESCTSE477831	NA	Sequelae of cerebrovascular disease	EXCLUDE
4778331000006118	NA	195240000	^ESCTSE477833	NA	Sequelae of subarachnoid hemorrhage	EXCLUDE
4778351000006113	NA	195241001	^ESCTSE477835	NA	Sequelae of intracerebral hemorrhage	EXCLUDE
4835711000006115	NA	206188000	^ESCTSU483571	NA	Subdural and cerebral hemorrhage due to birth trauma	EXCLUDE
499739014	G650.	64009001	G650-1	G650.11	Insufficiency - basilar artery	EXCLUDE
5011251000006113	NA	230703006	^ESCTDY501125	NA	Dysarthria-clumsy hand syndrome	EXCLUDE
5011261000006110	NA	230704000	^ESCTMU501126	NA	Multi-infarct state	EXCLUDE
5011271000006115	NA	230704000	^ESCTMI501127	NA	MIS - Multiple infarct state	EXCLUDE
5011281000006117	NA	230704000	^ESCTMU501128	NA	Multiple infarct state	EXCLUDE
5011861000006114	NA	230738008	^ESCTAS501186	NA	Asymptomatic cerebrovascular disease	EXCLUDE
505322013	S62..	450418003	S62	S62..00	Cerebral haemorrhage following injury	EXCLUDE
543251000006116	L440.	6594005	L440	L440.00	Cerebrovascular disorder in the puerperium	EXCLUDE
5597041000006114	NA	277286006	^ESCTCP559704	NA	CPSP - Central post-stroke pain	EXCLUDE
5736641000006113	NA	288723005	^ESCTAC573664	NA	Acute ill-defined cerebrovascular disease	EXCLUDE
58046010	G651.	34781003	G651	G651.00	Vertebral artery syndrome	EXCLUDE
5974461000006114	NA	308064009	^ESCTHI597446	NA	History of cerebrovascular disease	EXCLUDE
6349321000006119	NA	371114002	^ESCTSE634932	NA	Seizures complicating intracranial haemorrhage	EXCLUDE
6349331000006116	NA	371114002	^ESCTSE634933	NA	Seizures complicating intracranial hemorrhage	EXCLUDE
6516541000006119	NA	390936003	^ESCTCE651654	NA	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy	EXCLUDE
660121000006113	S62..	450410005	S62-1	S62..11	Traumatic intracranial haemorrhage	EXCLUDE
67501000006115	G6510	195199008	G6510	G651000	Vertebrobasilar artery syndrome	EXCLUDE
67511000006117	G65..	64009001	G65-3	G65..13	Vertebro-basilar insufficiency	EXCLUDE
6880441000006119	NA	415628004	^ESCTST688044	NA	Stroke/transient ischemic attack monitoring first letter	EXCLUDE
6880461000006115	NA	415629007	^ESCTST688046	NA	Stroke/transient ischemic attack monitoring second letter	EXCLUDE
6880471000006110	NA	415630002	^ESCTST688047	NA	Stroke/transient ischaemic attack monitoring status	EXCLUDE
6880481000006113	NA	415630002	^ESCTST688048	NA	Stroke/transient ischemic attack monitoring status	EXCLUDE
6880501000006115	NA	415631003	^ESCTST688050	NA	Stroke/transient ischemic attack monitoring third letter	EXCLUDE
6901471000006110	NA	417059002	^ESCTST690147	NA	Stroke/transient ischemic attack monitoring verbal invitation	EXCLUDE
6908391000006111	NA	417540008	^ESCTST690839	NA	Stroke/transient ischaemic attack monitoring invitation	EXCLUDE
6908401000006113	NA	417540008	^ESCTST690840	NA	Stroke/transient ischemic attack monitoring invitation	EXCLUDE
702641000006119	S620.	30400005	S620-1	S620.11	Middle meningeal haemmorhage following injury	EXCLUDE
7047371000006114	NA	425642008	^ESCTMO704737	NA	Monoplegia of dominant lower limb as a late effect of cerebrovascular accident	EXCLUDE
7050791000006110	NA	425882004	^ESCTPA705079	NA	Paralytic syndrome as late effect of stroke	EXCLUDE
7053121000006118	NA	426033005	^ESCTDY705312	NA	Dysphagia as a late effect of cerebrovascular accident	EXCLUDE
7053131000006115	NA	426033005	^ESCTDY705313	NA	Dysphagia, late effect of stroke	EXCLUDE
7064311000006116	NA	426788002	^ESCTVE706431	NA	Vertigo as late effect of stroke	EXCLUDE
7068491000006111	NA	427065003	^ESCTMO706849	NA	Monoplegia of dominant upper limb as a late effect of cerebrovascular accident	EXCLUDE
7073801000006116	NA	427432001	^ESCTPA707380	NA	Paralytic syndrome as late effect of thalamic stroke	EXCLUDE
7091901000006119	NA	428668000	^ESCTAP709190	NA	Apraxia due to cerebrovascular accident	EXCLUDE
7128911000006114	NA	430947007	^ESCTPA712891	NA	Paralytic syndrome of nondominant side as late effect of stroke	EXCLUDE
7128921000006118	NA	430947007	^ESCTPA712892	NA	Paralytic syndrome of non-dominant side as late effect of stroke	EXCLUDE
7129091000006111	NA	430959006	^ESCTPA712909	NA	Paralytic syndrome of dominant side as late effect of stroke	EXCLUDE
7175671000006116	NA	433183000	^ESCTNE717567	NA	Neurogenic bladder as late effect of cerebrovascular accident	EXCLUDE
7224251000006110	NA	439524005	^ESCTDI722425	NA	Dissection within cavernous sinus for obliteration of carotid artery aneurysm	EXCLUDE
7240551000006117	NA	440665006	^ESCTCO724055	NA	Compensatory behaviour related to unilateral stroke deficit	EXCLUDE
7240561000006115	NA	440665006	^ESCTCO724056	NA	Compensatory behavior related to unilateral stroke deficit	EXCLUDE
7251281000006117	NA	441529001	^ESCTDY725128	NA	Dysphasia as late effect of cerebrovascular disease	EXCLUDE
7252841000006116	NA	441630004	^ESCTAP725284	NA	Aphasia as late effect of cerebrovascular disease	EXCLUDE
7254411000006111	NA	441735003	^ESCTSE725441	NA	Sensory disorder as a late effect of cerebrovascular disease	EXCLUDE
7254771000006114	NA	441759008	^ESCTAB725477	NA	Abnormal vision as a late effect of cerebrovascular disease	EXCLUDE
7256601000006115	NA	441887006	^ESCTMO725660	NA	Monoplegia of lower limb as late effect of cerebrovascular disease	EXCLUDE
7256691000006110	NA	441894009	^ESCTMO725669	NA	Monoplegia of nondominant lower limb as a late effect of cerebrovascular accident	EXCLUDE
7257631000006113	NA	441960006	^ESCTSP725763	NA	Speech and language deficit as late effect of cerebrovascular accident	EXCLUDE
7257641000006115	NA	441960006	^ESCTSP725764	NA	Speech and language deficit, late effect of stroke	EXCLUDE
7258071000006119	NA	441991000	^ESCTHE725807	NA	Hemiparesis as late effect of cerebrovascular accident	EXCLUDE
7258571000006111	NA	442024001	^ESCTHE725857	NA	Hemiplegia as late effect of cerebrovascular disease	EXCLUDE
7259611000006114	NA	442097001	^ESCTMO725961	NA	Monoplegia of upper limb as late effect of cerebrovascular disease	EXCLUDE
7260881000006116	NA	442181008	^ESCTMO726088	NA	Monoplegia of nondominant upper limb as a late effect of cerebrovascular accident	EXCLUDE
7261281000006113	NA	442212003	^ESCTRE726128	NA	Residual cognitive deficit as late effect of cerebrovascular accident	EXCLUDE
7261291000006111	NA	442212003	^ESCTRE726129	NA	Residual cognitive deficit, late effect of stroke	EXCLUDE
7266361000006115	NA	442617003	^ESCTAP726636	NA	Aphasia as late effect of cerebrovascular accident	EXCLUDE
7266721000006113	NA	442668000	^ESCTHE726672	NA	Hemiplegia of nondominant side as late effect of cerebrovascular disease	EXCLUDE
7266791000006110	NA	442676003	^ESCTHE726679	NA	Hemiplegia of dominant side as late effect of cerebrovascular disease	EXCLUDE
7267441000006113	NA	442733008	^ESCTHE726744	NA	Hemiplegia as late effect of cerebrovascular accident	EXCLUDE
7378301000006119	NA	450410005	^ESCTTR737830	NA	Traumatic intracranial hemorrhage	EXCLUDE
7378411000006114	NA	450418003	^ESCTCE737841	NA	Cerebral hemorrhage following injury	EXCLUDE
7386761000006111	NA	451035002	^ESCTSU738676	NA	Subpial intracranial haemorrhage	EXCLUDE
7386771000006116	NA	451035002	^ESCTSU738677	NA	Subpial intracranial hemorrhage	EXCLUDE
7477221000006110	NA	472746006	^ESCTCE747722	NA	Cerebrovascular disorder due to paradoxical embolus	EXCLUDE
7512581000006113	NA	698767004	^ESCTPO751258	NA	Post-cerebrovascular accident epilepsy	EXCLUDE
7519441000006112	NA	699270006	^ESCTCE751944	NA	Cerebrovascular accident annual review	EXCLUDE
7840001000006117	NA	723083001	^ESCTLA784000	NA	Late effects of cerebral ischaemic stroke	EXCLUDE
7840011000006119	NA	723083001	^ESCTLA784001	NA	Late effects of cerebral ischemic stroke	EXCLUDE
7840021000006110	NA	723084007	^ESCTSE784002	NA	Sequela of non-traumatic intracerebral haemorrhage	EXCLUDE
7840031000006113	NA	723084007	^ESCTSE784003	NA	Sequela of non-traumatic intracerebral hemorrhage	EXCLUDE
7840041000006115	NA	723084007	^ESCTLA784004	NA	Late effects of non-traumatic intracerebral hemorrhage	EXCLUDE
7840051000006118	NA	723085008	^ESCTSE784005	NA	Sequela of non-traumatic intracranial subarachnoid haemorrhage	EXCLUDE
7840061000006116	NA	723085008	^ESCTSE784006	NA	Sequela of non-traumatic intracranial subarachnoid hemorrhage	EXCLUDE
7840071000006111	NA	723085008	^ESCTLA784007	NA	Late effects of non-traumatic intracranial subarachnoid hemorrhage	EXCLUDE
7855721000006117	NA	724429004	^ESCTST785572	NA	Stroke and migraine	EXCLUDE
7965371000006117	NA	361000119103	^ESCTPA796537	NA	Paralytic syndrome on one side of the body as late effect of cerebrovascular accident	EXCLUDE
7967641000006111	NA	1131000119105	^ESCTSE796764	NA	Sequela of cerebrovascular accident	EXCLUDE
8006561000006111	NA	18751000119106	^ESCTMO800656	NA	Monoplegia of leg dominant side as sequela of cerebrovascular disease	EXCLUDE
8006601000006111	NA	18761000119108	^ESCTMO800660	NA	Monoplegia of arm dominant side as sequela of cerebrovascular disease	EXCLUDE
800691000006113	G671.	302909007	G671	G671.00	Diffuse cerebrovascular disease	EXCLUDE
8011371000006117	NA	23671000119107	^ESCTSE801137	NA	Sequela of ischaemic cerebral infarction	EXCLUDE
8011381000006119	NA	23671000119107	^ESCTSE801138	NA	Sequela of ischemic cerebral infarction	EXCLUDE
8013501000006117	NA	26021000119107	^ESCTVE801350	NA	Vertigo as sequela of cerebrovascular disease	EXCLUDE
8014261000006116	NA	29941000119105	^ESCTAT801426	NA	Ataxia as sequela of cerebrovascular disease	EXCLUDE
8014911000006110	NA	33301000119105	^ESCTSE801491	NA	Sequela of cardioembolic stroke	EXCLUDE
8014931000006116	NA	33331000119103	^ESCTSE801493	NA	Sequela of lacunar stroke	EXCLUDE
8016411000006110	NA	40161000119102	^ESCTWE801641	NA	Weakness of face muscles as sequela of stroke	EXCLUDE
8017381000006110	NA	46421000119102	^ESCTBE801738	NA	Behaviour disorder as sequela of cerebral infarction	EXCLUDE
8017391000006113	NA	46421000119102	^ESCTBE801739	NA	Behavior disorder as sequela of cerebral infarction	EXCLUDE
8017621000006119	NA	48601000119107	^ESCTHE801762	NA	Hemiplegia and/or hemiparesis following stroke	EXCLUDE
8017631000006116	NA	48601000119107	^ESCTPA801763	NA	Paralytic syndrome on one side of the body as effect of cerebrovascular accident	EXCLUDE
8026081000006119	NA	87551000119101	^ESCTVI802608	NA	Visual disturbance as sequela of cerebrovascular disease	EXCLUDE
8028251000006119	NA	91601000119109	^ESCTSE802825	NA	Sequela of thrombotic stroke	EXCLUDE
8028711000006113	NA	92341000119107	^ESCTWE802871	NA	Weakness of extremities as sequela of stroke	EXCLUDE
8032101000006111	NA	102831000119104	^ESCTPA803210	NA	Paralytic syndrome of both lower limbs as sequela of stroke	EXCLUDE
8032111000006114	NA	102831000119104	^ESCTPA803211	NA	Paraplegia or paraparesis as sequela of stroke	EXCLUDE
8032331000006118	NA	103761000119107	^ESCTPA803233	NA	Paralytic syndrome of all four limbs as sequela of stroke	EXCLUDE
8032341000006111	NA	103761000119107	^ESCTTE803234	NA	Tetraplegia or tetraparesis as sequela of stroke	EXCLUDE
8034181000006112	NA	108691000119102	^ESCTSP803418	NA	Spasticity as sequela of stroke	EXCLUDE
8034191000006110	NA	108691000119102	^ESCTSP803419	NA	Spasticity as late effect of cerebrovascular accident	EXCLUDE
8042111000006110	NA	133981000119106	^ESCTDY804211	NA	Dysarthria as late effects of cerebrovascular disease	EXCLUDE
8042121000006119	NA	133991000119109	^ESCTFL804212	NA	Fluency disorder as sequela of cerebrovascular disease	EXCLUDE
8042441000006116	NA	134771000119108	^ESCTAL804244	NA	Alteration of sensation as late effect of stroke	EXCLUDE
8043371000006110	NA	137991000119103	^ESCTSE804337	NA	Seizure disorder as sequela of stroke	EXCLUDE
8044141000006119	NA	140281000119108	^ESCTHE804414	NA	Hemiparesis as late effect of cerebrovascular disease	EXCLUDE
8046321000006118	NA	145741000119101	^ESCTAP804632	NA	Apraxia as late effect of cerebrovascular disease	EXCLUDE
8046801000006116	NA	148871000119109	^ESCTWE804680	NA	Weakness as a late effect of stroke	EXCLUDE
8046811000006118	NA	148871000119109	^ESCTWE804681	NA	Weakness as a late effect of cerebrovascular accident	EXCLUDE
8195421000006116	NA	519751000000106	^ESCTCE819542	NA	Cerebrovascular accident (CVA) 6 month review	EXCLUDE
8195431000006118	NA	519751000000106	^ESCTST819543	NA	Stroke/cerebrovascular accident 6 month review	EXCLUDE
841051000006113	G678.	390936003	G678	G678.00	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	EXCLUDE
884491000006117	G63z.	584161000000109	G63z-99	G63z.99	Precerebral A. occlusion NOS	EXCLUDE
884561000006114	G68..	195239002	G68-99	G68..99	Cerebrovasc. dis. late effects	EXCLUDE
894091000006111	Q200.	206196005	Q200-99	Q200.99	Cerebral haemorrhage - birth	EXCLUDE
894331000006110	Q411.	70611002	Q411-99	Q411.99	Fetal cerebral haemorrhage	EXCLUDE
896531000006110	S62..	82894007	S62-99	S62..99	Cerebral h'ge after injury	EXCLUDE
966981000006112	8HHM.	112901000000108	8HHM	8HHM.00	Referral to multidisciplinary stroke function improvement service	EXCLUDE
986831000006115	9Om3.	417059002	9Om3	9Om3.00	Stroke/transient ischaemic attack monitoring verbal invitation	EXCLUDE
